#,case_id,product,d_type,supplier,jira_request,required_by,received_date,m_lead_time_in_weeks,m_lead_time_in_days,item_type,next_delivery_date,d_created,updated,location,total_amount,tax_amount
1441,PO20-5211_1005582,CARGO FLR CTR PNL,Advanced Purchase,badf8e86dd64fac6431300fca1e4530f,PRCH-7101,14/10/2020,14/10/2020,3,21,Manufactured Item,,2020-09-23 00:00:00.000000,2020-10-14 13:55:07.830000,UK/Banbury/Main stores,937,156.1666666666666667
1442,PO20-5252_1005369,BUSBAR FUSEBOARD - 2 POS - BOARD,Advanced Purchase,889f8c4a149bcd520cd16c330fa87f7f,PRCH-7396,30/9/2020,15/10/2020,4,28,Purchased Electrical Part,,2020-09-23 00:00:00.000000,2020-10-15 10:08:15.713000,UK/Banbury/Main stores,10.6666666666666667,
1443,PO20-5250_1029361,AVAS SPEAKER HOUSING,Advanced Purchase,39f4826bad6341fd2342df39b51c1900,PRCH-7404,5/10/2020,6/10/2020,1,7,Manufactured Item,,2020-09-23 00:00:00.000000,2020-10-30 10:44:45.167000,UK/Banbury/Main stores,1025.894,170.9823333333333333
1444,PO20-5211_1035420,CARGO FLOOR RAIL REAR,Advanced Purchase,badf8e86dd64fac6431300fca1e4530f,PRCH-7101,14/10/2020,14/10/2020,3,21,Manufactured Item,,2020-09-23 00:00:00.000000,2020-10-14 13:55:07.830000,UK/Banbury/Main stores,937,156.1666666666666667
1445,PO20-5211_1021503,CABIN FLR PNL LH RHD,Advanced Purchase,badf8e86dd64fac6431300fca1e4530f,PRCH-7101,14/10/2020,14/10/2020,3,21,Manufactured Item,,2020-09-23 00:00:00.000000,2020-10-14 13:55:07.830000,UK/Banbury/Main stores,937,156.1666666666666667
1446,PO20-5213_1028667,DIN71802 M6 BALL JOINT,Advanced Purchase,f5a5343ee2461de8607b2f8fb8580ef3,PRCH-7373,24/9/2020,24/9/2020,2,14,Manufactured Item,,2020-09-23 00:00:00.000000,2020-11-11 09:15:28.520000,UK/Banbury/Main stores,22.122,3.687
1447,PO20-5253_1001915,PNEUMATIC DUMMY MALE COUPLING,Advanced Purchase,debb0f3be638b5dcea5289ecccf600dc,PRCH-7370,,6/10/2020,8,56,Purchased,,2020-09-23 00:00:00.000000,2020-10-06 07:48:14.113000,UK/Banbury/Main stores,9.35,1.5583333333333333
1448,PO20-5250_1036255,BETA VAN FRONT 24V WET FUSEBAR CASING LOWER,Advanced Purchase,39f4826bad6341fd2342df39b51c1900,PRCH-7404,5/10/2020,1/10/2020,1,7,Manufactured Item,,2020-09-23 00:00:00.000000,2020-10-30 10:44:45.167000,UK/Banbury/Main stores,1025.894,170.9823333333333333
1449,PO20-5250_1036256,BETA VAN FRONT 24V WET FUSEBAR CASING UPPER,Advanced Purchase,39f4826bad6341fd2342df39b51c1900,PRCH-7404,5/10/2020,1/10/2020,1,7,Manufactured Item,,2020-09-23 00:00:00.000000,2020-10-30 10:44:45.167000,UK/Banbury/Main stores,1025.894,170.9823333333333333
1450,PO20-5248_1024948,CABIN DOOR HINGE BODY LEAF RH,Advanced Purchase,51c5bf4e532ba08928098ad6a5d8b9ab,PRCH-7418,11/12/2020,11/12/2020,4,28,Manufactured Item,,2020-09-23 00:00:00.000000,2020-12-11 06:14:48.297000,UK/Banbury/Main stores,653.664,108.944
1451,PO20-5287_1030026,TAPPED PLATE  WHEELHOUSING TRANS,Advanced Purchase,39f4826bad6341fd2342df39b51c1900,PRCH-7459,27/10/2020,19/11/2020,,,,,2020-09-24 00:00:00.000000,2020-11-19 12:06:33.240000,UK/Banbury/Main stores,478.5598333333333333,77.104
1452,PO20-5299_1032815,BETA-CARGO-SHELF-BRACKET-SUPPORT-C,Advanced Purchase,36e7484dad81158176da49599e3b48e4,PRCH-7233,15/10/2020,21/10/2020,3,21,Manufactured Item,,2020-09-24 00:00:00.000000,2020-10-21 11:50:18.983000,UK/Banbury/Main stores,412.5,68.75
1453,PO20-5287_1030028,TAPPED PLATE  UPR WHEELHOUSING TRANS,Advanced Purchase,39f4826bad6341fd2342df39b51c1900,PRCH-7459,27/10/2020,19/11/2020,,,,,2020-09-24 00:00:00.000000,2020-11-19 12:06:33.240000,UK/Banbury/Main stores,478.5598333333333333,77.104
1454,PO20-5287_1031360,TAPPED PLATE LWR  WHEELHOUSING TRANS,Advanced Purchase,39f4826bad6341fd2342df39b51c1900,PRCH-7459,27/10/2020,19/11/2020,,,,,2020-09-24 00:00:00.000000,2020-11-19 12:06:33.240000,UK/Banbury/Main stores,478.5598333333333333,77.104
1455,PO20-5254_1004446,ASSY DOOR GLAZING RH,Advanced Purchase,fe383c98aa8396c11f2ca41039a9046e,PRCH-7420,12/2/2021,15/2/2021,4,28,Assembly,12/2/2021,2020-09-24 00:00:00.000000,2020-12-23 10:37:39.433000,UK/Banbury/Main stores,3409.15,568.1916666666666667
1456,PO20-5299_1030562,BETA-CARGO-SHELF-BRACKET-TIE,Advanced Purchase,36e7484dad81158176da49599e3b48e4,PRCH-7233,15/10/2020,21/10/2020,3,21,,,2020-09-24 00:00:00.000000,2020-10-21 11:50:18.983000,UK/Banbury/Main stores,412.5,68.75
1457,PO20-5299_1005408,BETA-CARGO-SHELF-BRACKET-SUPPORT-90,Advanced Purchase,36e7484dad81158176da49599e3b48e4,PRCH-7233,15/10/2020,21/10/2020,3,21,Manufactured Item,14/12/2020,2020-09-24 00:00:00.000000,2020-10-21 11:50:18.983000,UK/Banbury/Main stores,412.5,68.75
1458,PO20-5299_1005409,BETA-CARGO-SHELF-BRACKET-SUPPORT-L,Advanced Purchase,36e7484dad81158176da49599e3b48e4,PRCH-7233,15/10/2020,21/10/2020,3,21,Manufactured Item,,2020-09-24 00:00:00.000000,2020-10-21 11:50:18.983000,UK/Banbury/Main stores,412.5,68.75
1459,PO20-5287_1028585,JACKING  PLATE,Advanced Purchase,39f4826bad6341fd2342df39b51c1900,PRCH-7459,27/10/2020,19/11/2020,,,,,2020-09-24 00:00:00.000000,2020-11-19 12:06:33.240000,UK/Banbury/Main stores,478.5598333333333333,77.104
1460,PO20-6492_1037952,BETA P6 - UPPER RAIL EXTRUSION FRONT RH,Simple Purchase,4e1bbf26e208f1298374e812bba2882e,PRCH-8543,,2/12/2020,0,0,,,2020-11-03 00:00:00.000000,2020-12-02 11:53:02.967000,UK/Banbury/Main stores,853.845,142.3075
1461,PO20-5287_1030045,TAPPED PLATE INR  WHEELHOUSING TRANS,Advanced Purchase,39f4826bad6341fd2342df39b51c1900,PRCH-7459,27/10/2020,19/11/2020,,,,,2020-09-24 00:00:00.000000,2020-11-19 12:06:33.240000,UK/Banbury/Main stores,478.5598333333333333,77.104
1462,PO20-5299_1005410,BETA-CARGO-SHELF-BRACKET-SUPPORT-R,Advanced Purchase,36e7484dad81158176da49599e3b48e4,PRCH-7233,15/10/2020,21/10/2020,3,21,Manufactured Item,,2020-09-24 00:00:00.000000,2020-10-21 11:50:18.983000,UK/Banbury/Main stores,412.5,68.75
1463,PO20-5271_1011-348-0805,Automotive Connectors 2-12 WAY CAPS FOR DT PLUGS,Advanced Purchase,751ac7d0c325bb905ec887e892902932,PRCH-7367,28/9/2020,,0,0,,28/9/2020,2020-09-24 00:00:00.000000,2020-10-22 06:49:57.410000,UK/Banbury/Main stores,21.4141666666666667,
1464,PO20-5271_1011-347-0605,Automotive Connectors 2-12 WAY CAPS FOR DT PLUGS,Advanced Purchase,751ac7d0c325bb905ec887e892902932,PRCH-7367,28/9/2020,,0,0,,28/9/2020,2020-09-24 00:00:00.000000,2020-10-22 06:49:57.410000,UK/Banbury/Main stores,21.4141666666666667,
1465,PO20-6443_1040740,P6 SIDE IMPACT PROTECTION RHS,Advanced Purchase,46976edf3060ee19825ea4376a304331, Adam Green,25/1/2021,,0,0,,25/1/2021,2020-11-02 00:00:00.000000,2020-11-03 12:36:03.863000,UK/Banbury/Main stores,11449.376,1908.2293333333333333
